SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	December 17, 2016	December 16, 2016	December 15, 2016	December 14, 2016	December 13, 2016
Swiss Franc		1.379120	1.381720	1.367460	1.369960
Thai Baht		47.960900	47.850300		48.104000
Trinidad And Tobago Dollar		9.033590	9.046090	9.175070	9.164390
Tunisian Dinar		3.115900	3.063540	3.123500	
U.A.E. Dirham		4.923050	4.920340	4.972280	4.964650
Peso Uruguayo			38.451600	38.491900	38.707300
Bolivar Fuerte		13.371600	13.364300	13.505400	13.484600


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
